Fine_step Time dt scale_factor Memory%
217.0 0.00363539 1.699e-05 1.0 1.0
218.0 0.00365238 1.699e-05 1.0 1.0
219.0 0.00366937 1.699e-05 1.0 1.0
220.0 0.00368636 1.699e-05 1.0 1.0
221.0 0.00370334 1.699e-05 1.0 1.0
222.0 0.00372033 1.699e-05 1.0 1.0
223.0 0.00373732 1.699e-05 1.0 1.0
224.0 0.00375431 1.699e-05 1.0 1.0
225.0 0.0037713 1.699e-05 1.0 1.0
226.0 0.00378828 1.699e-05 1.0 1.0
227.0 0.00380527 1.699e-05 1.0 1.0
228.0 0.00382226 1.699e-05 1.0 1.1
229.0 0.00383925 1.699e-05 1.0 1.1
230.0 0.00385623 1.699e-05 1.0 1.1
231.0 0.00387322 1.699e-05 1.0 1.1
232.0 0.00389021 1.699e-05 1.0 1.1
233.0 0.0039072 1.699e-05 1.0 1.1
234.0 0.00392418 1.699e-05 1.0 1.1
235.0 0.00394117 1.699e-05 1.0 1.1
236.0 0.00395816 1.699e-05 1.0 1.1
237.0 0.00397515 1.699e-05 1.0 1.1
238.0 0.00399213 1.699e-05 1.0 1.2
239.0 0.00400912 1.699e-05 1.0 1.2
240.0 0.00402611 1.699e-05 1.0 1.2
241.0 0.0040431 1.699e-05 1.0 1.2
242.0 0.00406009 1.699e-05 1.0 1.2
243.0 0.00407707 1.699e-05 1.0 1.2
244.0 0.00409406 1.699e-05 1.0 1.2
245.0 0.00411105 1.699e-05 1.0 1.2
246.0 0.00412804 1.699e-05 1.0 1.3
247.0 0.00414502 1.699e-05 1.0 1.3
248.0 0.00416201 1.699e-05 1.0 1.3
249.0 0.004179 1.699e-05 1.0 1.3
250.0 0.00419599 1.699e-05 1.0 1.3
251.0 0.00421297 1.699e-05 1.0 1.3
252.0 0.00422996 1.699e-05 1.0 1.4
253.0 0.00424695 1.699e-05 1.0 1.4
254.0 0.00426394 1.699e-05 1.0 1.4
255.0 0.00428093 1.699e-05 1.0 1.4
256.0 0.00429791 1.699e-05 1.0 1.4
257.0 0.0043149 1.699e-05 1.0 1.4
258.0 0.00433189 1.699e-05 1.0 1.4
259.0 0.00434888 1.699e-05 1.0 1.4
260.0 0.00436586 1.699e-05 1.0 1.5
261.0 0.00438285 1.699e-05 1.0 1.5
262.0 0.00439984 1.699e-05 1.0 1.5
263.0 0.00441683 1.699e-05 1.0 1.5
264.0 0.00443381 1.699e-05 1.0 1.5
265.0 0.0044508 1.699e-05 1.0 1.5
266.0 0.00446779 1.699e-05 1.0 1.6
267.0 0.00448478 1.699e-05 1.0 1.6
268.0 0.00450177 1.699e-05 1.0 1.6
269.0 0.00451875 1.699e-05 1.0 1.6
270.0 0.00453574 1.699e-05 1.0 1.7
271.0 0.00455273 1.699e-05 1.0 1.7
272.0 0.00456972 1.699e-05 1.0 1.7
273.0 0.0045867 1.699e-05 1.0 1.7
274.0 0.00460369 1.699e-05 1.0 1.8
275.0 0.00462068 1.699e-05 1.0 1.8
276.0 0.00463767 1.699e-05 1.0 1.8
277.0 0.00465465 1.699e-05 1.0 1.8
278.0 0.00467164 1.699e-05 1.0 1.9
279.0 0.00468863 1.699e-05 1.0 1.9
280.0 0.00470562 1.699e-05 1.0 1.9
281.0 0.00472261 1.699e-05 1.0 1.9
282.0 0.00473959 1.699e-05 1.0 2.0
283.0 0.00475658 1.699e-05 1.0 2.0
284.0 0.00477357 1.699e-05 1.0 2.1
285.0 0.00479056 1.699e-05 1.0 2.1
286.0 0.00480754 1.699e-05 1.0 2.1
