Fine_step Time dt scale_factor Memory%
164.0 0.000293081 2.123e-06 1.0 1.9
165.0 0.000295204 2.123e-06 1.0 1.9
166.0 0.000297328 2.123e-06 1.0 1.9
167.0 0.000299451 2.123e-06 1.0 1.9
168.0 0.000301575 2.123e-06 1.0 1.9
169.0 0.000303698 2.123e-06 1.0 1.9
170.0 0.000305822 2.123e-06 1.0 1.9
171.0 0.000307945 2.123e-06 1.0 1.9
172.0 0.000310068 2.123e-06 1.0 1.9
173.0 0.000312192 2.123e-06 1.0 1.9
174.0 0.000314315 2.123e-06 1.0 1.9
175.0 0.000316439 2.123e-06 1.0 1.9
176.0 0.000318562 2.123e-06 1.0 1.9
177.0 0.000320686 2.123e-06 1.0 1.9
178.0 0.000322809 2.123e-06 1.0 1.9
179.0 0.000324933 2.123e-06 1.0 1.9
180.0 0.000327056 2.123e-06 1.0 1.9
181.0 0.00032918 2.123e-06 1.0 1.9
182.0 0.000331303 2.123e-06 1.0 1.9
183.0 0.000333427 2.123e-06 1.0 1.9
184.0 0.00033555 2.123e-06 1.0 1.9
185.0 0.000337673 2.123e-06 1.0 1.9
186.0 0.000339797 2.123e-06 1.0 1.9
187.0 0.00034192 2.123e-06 1.0 1.9
188.0 0.000344044 2.123e-06 1.0 1.9
189.0 0.000346167 2.123e-06 1.0 1.9
190.0 0.000348291 2.123e-06 1.0 1.9
191.0 0.000350414 2.123e-06 1.0 1.9
192.0 0.000352538 2.123e-06 1.0 1.9
193.0 0.000354661 2.123e-06 1.0 1.9
194.0 0.000356785 2.123e-06 1.0 1.9
195.0 0.000358908 2.123e-06 1.0 1.9
196.0 0.000361032 2.123e-06 1.0 1.9
197.0 0.000363155 2.123e-06 1.0 1.9
198.0 0.000365278 2.123e-06 1.0 1.9
199.0 0.000367402 2.123e-06 1.0 1.9
200.0 0.000369525 2.123e-06 1.0 1.9
201.0 0.000371649 2.123e-06 1.0 1.9
202.0 0.000373772 2.123e-06 1.0 1.9
203.0 0.000375896 2.123e-06 1.0 1.9
204.0 0.000378019 2.123e-06 1.0 1.9
205.0 0.000380143 2.123e-06 1.0 1.9
206.0 0.000382266 2.123e-06 1.0 1.9
207.0 0.00038439 2.123e-06 1.0 1.9
208.0 0.000386513 2.123e-06 1.0 1.9
209.0 0.000388636 2.123e-06 1.0 1.9
210.0 0.00039076 2.123e-06 1.0 1.9
211.0 0.000392883 2.123e-06 1.0 1.9
212.0 0.000395007 2.123e-06 1.0 1.9
213.0 0.00039713 2.123e-06 1.0 1.9
214.0 0.000399254 2.123e-06 1.0 1.9
215.0 0.000401377 2.123e-06 1.0 1.9
216.0 0.000403501 2.123e-06 1.0 1.9
217.0 0.000405624 2.123e-06 1.0 1.9
218.0 0.000407748 2.123e-06 1.0 1.9
219.0 0.000409871 2.123e-06 1.0 1.9
220.0 0.000411995 2.123e-06 1.0 1.9
221.0 0.000414118 2.123e-06 1.0 1.9
222.0 0.000416241 2.123e-06 1.0 1.9
223.0 0.000418365 2.123e-06 1.0 1.9
224.0 0.000420488 2.123e-06 1.0 1.9
225.0 0.000422612 2.123e-06 1.0 1.9
226.0 0.000424735 2.123e-06 1.0 1.9
227.0 0.000426859 2.123e-06 1.0 1.9
228.0 0.000428982 2.123e-06 1.0 1.9
229.0 0.000431106 2.123e-06 1.0 1.9
230.0 0.000433229 2.123e-06 1.0 1.9
231.0 0.000435353 2.123e-06 1.0 1.9
232.0 0.000437476 2.123e-06 1.0 1.9
233.0 0.0004396 2.123e-06 1.0 1.9
234.0 0.000441723 2.123e-06 1.0 1.9
235.0 0.000443846 2.123e-06 1.0 1.9
236.0 0.00044597 2.123e-06 1.0 1.9
237.0 0.000448093 2.123e-06 1.0 1.9
238.0 0.000450217 2.123e-06 1.0 1.9
239.0 0.00045234 2.123e-06 1.0 1.9
240.0 0.000454464 2.123e-06 1.0 1.9
241.0 0.000456587 2.123e-06 1.0 1.9
242.0 0.000458711 2.123e-06 1.0 1.9
243.0 0.000460834 2.123e-06 1.0 1.9
244.0 0.000462958 2.123e-06 1.0 1.9
245.0 0.000465081 2.123e-06 1.0 1.9
246.0 0.000467205 2.123e-06 1.0 1.9
247.0 0.000469328 2.123e-06 1.0 1.9
248.0 0.000471451 2.123e-06 1.0 1.9
249.0 0.000473575 2.123e-06 1.0 1.9
250.0 0.000475698 2.123e-06 1.0 1.9
251.0 0.000477822 2.123e-06 1.0 1.9
252.0 0.000479945 2.123e-06 1.0 1.9
253.0 0.000482069 2.123e-06 1.0 1.9
254.0 0.000484192 2.123e-06 1.0 1.9
255.0 0.000486316 2.123e-06 1.0 1.9
256.0 0.000488439 2.123e-06 1.0 1.9
257.0 0.000490563 2.123e-06 1.0 1.9
258.0 0.000492686 2.123e-06 1.0 1.9
259.0 0.00049481 2.123e-06 1.0 1.9
260.0 0.000496933 2.123e-06 1.0 1.9
261.0 0.000499056 2.123e-06 1.0 1.9
262.0 0.00050118 2.123e-06 1.0 1.9
263.0 0.000503303 2.123e-06 1.0 1.9
264.0 0.000505427 2.123e-06 1.0 1.9
265.0 0.00050755 2.123e-06 1.0 1.9
266.0 0.000509674 2.123e-06 1.0 1.9
267.0 0.000511797 2.123e-06 1.0 1.9
268.0 0.000513921 2.123e-06 1.0 1.9
269.0 0.000516044 2.123e-06 1.0 1.9
270.0 0.000518168 2.123e-06 1.0 1.9
271.0 0.000520291 2.123e-06 1.0 1.9
272.0 0.000522415 2.123e-06 1.0 1.9
273.0 0.000524538 2.123e-06 1.0 1.9
274.0 0.000526661 2.123e-06 1.0 2.0
275.0 0.000528785 2.123e-06 1.0 2.0
276.0 0.000530908 2.123e-06 1.0 2.1
277.0 0.000533032 2.123e-06 1.0 2.1
278.0 0.000535155 2.123e-06 1.0 2.1
279.0 0.000537279 2.123e-06 1.0 2.1
280.0 0.000539402 2.123e-06 1.0 2.2
281.0 0.000541526 2.123e-06 1.0 2.2
282.0 0.000543649 2.123e-06 1.0 2.3
283.0 0.000545773 2.123e-06 1.0 2.3
284.0 0.000547896 2.123e-06 1.0 2.3
285.0 0.00055002 2.123e-06 1.0 2.3
286.0 0.000552143 2.123e-06 1.0 2.4
287.0 0.000554266 2.123e-06 1.0 2.4
288.0 0.00055639 2.123e-06 1.0 2.5
289.0 0.000558513 2.123e-06 1.0 2.5
290.0 0.000560637 2.123e-06 1.0 2.6
291.0 0.00056276 2.123e-06 1.0 2.6
292.0 0.000564884 2.123e-06 1.0 2.6
293.0 0.000567007 2.123e-06 1.0 2.6
294.0 0.000569131 2.123e-06 1.0 2.7
295.0 0.000571254 2.123e-06 1.0 2.7
296.0 0.000573378 2.123e-06 1.0 2.8
297.0 0.000575501 2.123e-06 1.0 2.8
298.0 0.000577625 2.123e-06 1.0 2.9
299.0 0.000579748 2.123e-06 1.0 2.9
300.0 0.000581871 2.123e-06 1.0 3.0
301.0 0.000583995 2.123e-06 1.0 3.0
302.0 0.000586118 2.123e-06 1.0 3.0
303.0 0.000588242 2.123e-06 1.0 3.0
304.0 0.000590365 2.123e-06 1.0 3.2
305.0 0.000592489 2.123e-06 1.0 3.2
306.0 0.000594612 2.123e-06 1.0 3.2
307.0 0.000596736 2.123e-06 1.0 3.2
308.0 0.000598859 2.123e-06 1.0 3.3
309.0 0.000600983 2.123e-06 1.0 3.3
310.0 0.000603106 2.123e-06 1.0 3.4
311.0 0.000605229 2.123e-06 1.0 3.4
312.0 0.000607353 2.123e-06 1.0 3.5
313.0 0.000609476 2.123e-06 1.0 3.5
314.0 0.0006116 2.123e-06 1.0 3.6
315.0 0.000613723 2.123e-06 1.0 3.6
316.0 0.000615847 2.123e-06 1.0 3.7
317.0 0.00061797 2.123e-06 1.0 3.7
318.0 0.000620094 2.123e-06 1.0 3.8
319.0 0.000622217 2.123e-06 1.0 3.8
320.0 0.000624341 2.123e-06 1.0 3.9
321.0 0.000626464 2.123e-06 1.0 3.9
322.0 0.000628588 2.123e-06 1.0 4.0
323.0 0.000630711 2.123e-06 1.0 4.0
324.0 0.000632834 2.123e-06 1.0 4.1
325.0 0.000634958 2.123e-06 1.0 4.1
326.0 0.000637081 2.123e-06 1.0 4.2
327.0 0.000639205 2.123e-06 1.0 4.2
328.0 0.000641328 2.123e-06 1.0 4.3
329.0 0.000643452 2.123e-06 1.0 4.3
330.0 0.000645575 2.123e-06 1.0 4.4
331.0 0.000647699 2.123e-06 1.0 4.4
332.0 0.000649822 2.123e-06 1.0 4.5
333.0 0.000651946 2.123e-06 1.0 4.5
334.0 0.000654069 2.123e-06 1.0 4.6
335.0 0.000656193 2.123e-06 1.0 4.6
336.0 0.000658316 2.123e-06 1.0 4.7
337.0 0.000660439 2.123e-06 1.0 4.7
338.0 0.000662563 2.123e-06 1.0 4.8
339.0 0.000664686 2.123e-06 1.0 4.8
340.0 0.00066681 2.123e-06 1.0 4.9
341.0 0.000668933 2.123e-06 1.0 4.9
342.0 0.000671057 2.123e-06 1.0 5.0
343.0 0.00067318 2.123e-06 1.0 5.0
344.0 0.000675304 2.123e-06 1.0 5.2
345.0 0.000677427 2.123e-06 1.0 5.2
346.0 0.000679551 2.123e-06 1.0 5.3
347.0 0.000681674 2.123e-06 1.0 5.3
348.0 0.000683798 2.123e-06 1.0 5.4
349.0 0.000685921 2.123e-06 1.0 5.4
350.0 0.000688044 2.123e-06 1.0 5.5
351.0 0.000690168 2.123e-06 1.0 5.5
352.0 0.000692291 2.123e-06 1.0 5.6
353.0 0.000694415 2.123e-06 1.0 5.6
354.0 0.000696538 2.123e-06 1.0 5.7
355.0 0.000698662 2.123e-06 1.0 5.7
